node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.4482 -0.2218 -3.1702 0.1366 0.5283 0.0000 0.0000 205.0000 0.1800 1.0000 
1 2 0 0.4482 -0.2218 -3.1702 0.7948 -0.4035 -3.3317 0.1366 0.4234 0.0000 0.0000 205.0000 0.3247 1.0000 
2 3 0 0.7948 -0.4035 -3.3317 1.0933 -0.5487 -3.4870 0.1366 0.3665 0.0000 0.0000 205.0000 0.4502 1.0000 
3 4 0 1.0933 -0.5487 -3.4870 1.3944 -0.7017 -3.6467 0.1366 0.3736 0.0000 0.0000 205.0000 0.5784 1.0000 
4 5 0 1.3944 -0.7017 -3.6467 1.7026 -0.8402 -3.7921 0.1366 0.3678 0.0000 0.0000 205.0000 0.7049 1.0000 
5 6 0 1.7026 -0.8402 -3.7921 2.0315 -1.0147 -3.9739 0.1366 0.4143 0.0000 0.0000 205.0000 0.8476 1.0000 
6 7 0 2.0315 -1.0147 -3.9739 2.2975 -1.1816 -4.1752 0.1366 0.3730 0.0000 0.0000 205.0000 0.9765 1.0000 
7 8 0 2.2975 -1.1816 -4.1752 2.5871 -1.3477 -4.4023 0.1366 0.4038 0.0000 0.0000 205.0000 1.1163 1.0000 
8 9 0 2.5871 -1.3477 -4.4023 2.8710 -1.5073 -4.6215 0.1366 0.3925 0.0000 0.0000 205.0000 1.2524 1.0000 
9 10 0 2.8710 -1.5073 -4.6215 3.1529 -1.6883 -4.8532 0.1366 0.4074 0.0000 0.0000 205.0000 1.3941 1.0000 
10 11 0 3.1529 -1.6883 -4.8532 3.4324 -1.8363 -5.1031 0.1366 0.4031 0.0000 0.0000 205.0000 1.5346 1.0000 
11 12 0 3.4324 -1.8363 -5.1031 3.7246 -1.9972 -5.3685 0.1366 0.4262 0.0000 0.0000 205.0000 1.6835 1.0000 
12 13 0 3.7246 -1.9972 -5.3685 3.9730 -2.1343 -5.5927 0.1366 0.3616 0.0000 0.0000 205.0000 1.8101 1.0000 
13 14 0 3.9730 -2.1343 -5.5927 4.2692 -2.2817 -5.8741 0.1366 0.4344 0.0000 0.0000 205.0000 1.9626 1.0000 
14 15 0 4.2692 -2.2817 -5.8741 4.5566 -2.4276 -6.1476 0.1366 0.4227 0.0000 0.0000 205.0000 2.1113 1.0000 
15 16 0 4.5566 -2.4276 -6.1476 4.7893 -2.5791 -6.4364 0.1366 0.4006 0.0000 0.0000 205.0000 2.2525 1.0000 
16 17 0 4.7893 -2.5791 -6.4364 5.0276 -2.7087 -6.7215 0.1366 0.3936 0.0000 0.0000 205.0000 2.3917 1.0000 
17 18 0 5.0276 -2.7087 -6.7215 5.2547 -2.8042 -7.0113 0.1366 0.3803 0.0000 0.0000 205.0000 2.5264 1.0000 
18 19 0 5.2547 -2.8042 -7.0113 5.4819 -2.9148 -7.2992 0.1366 0.3831 0.0000 0.0000 205.0000 2.6624 1.0000 
19 20 0 5.4819 -2.9148 -7.2992 5.7207 -3.0332 -7.6033 0.1366 0.4044 0.0000 0.0000 205.0000 2.8063 1.0000 
20 21 0 5.7207 -3.0332 -7.6033 5.9362 -3.1383 -7.8835 0.1366 0.3688 0.0000 0.0000 205.0000 2.9378 1.0000 
21 22 0 5.9362 -3.1383 -7.8835 6.1337 -3.2772 -8.2151 0.1366 0.4102 0.0000 0.0000 205.0000 3.0845 1.0000 
22 23 0 6.1337 -3.2772 -8.2151 6.3061 -3.4150 -8.5304 0.1366 0.3848 0.0000 0.0000 205.0000 3.2224 1.0000 
23 24 0 6.3061 -3.4150 -8.5304 6.4651 -3.5568 -8.8532 0.1366 0.3868 0.0000 0.0000 205.0000 3.3613 1.0000 
24 25 0 6.4651 -3.5568 -8.8532 6.6081 -3.6992 -9.2049 0.1366 0.4055 0.0000 0.0000 205.0000 3.5073 1.0000 
25 26 0 6.6081 -3.6992 -9.2049 6.7540 -3.8169 -9.5772 0.1366 0.4169 0.0000 0.0000 205.0000 3.6577 1.0000 
26 27 0 6.7540 -3.8169 -9.5772 6.8808 -3.9477 -9.9172 0.1366 0.3857 0.0000 0.0000 205.0000 3.7972 1.0000 
27 28 0 6.8808 -3.9477 -9.9172 6.9983 -4.0811 -10.2556 0.1366 0.3822 0.0000 0.0000 205.0000 3.9358 1.0000 
28 29 0 6.9983 -4.0811 -10.2556 7.0864 -4.2238 -10.5956 0.1366 0.3791 0.0000 0.0000 205.0000 4.0735 1.0000 
29 30 0 7.0864 -4.2238 -10.5956 7.1434 -4.3724 -10.9658 0.1366 0.4030 0.0000 0.0000 205.0000 4.2203 1.0000 
30 31 0 7.1434 -4.3724 -10.9658 7.1967 -4.5056 -11.3035 0.1366 0.3669 0.0000 0.0000 205.0000 4.3542 1.0000 
31 32 0 7.1967 -4.5056 -11.3035 7.2612 -4.5798 -11.6933 0.1366 0.4020 0.0000 0.0000 205.0000 4.5013 1.0000 
32 33 0 7.2612 -4.5798 -11.6933 7.3137 -4.6444 -12.0885 0.1366 0.4039 0.0000 0.0000 205.0000 4.6495 1.0000 
33 34 0 7.3137 -4.6444 -12.0885 7.3669 -4.7051 -12.4879 0.1366 0.4074 0.0000 0.0000 205.0000 4.7993 1.0000 
34 35 0 7.3669 -4.7051 -12.4879 7.4238 -4.7693 -12.9117 0.1366 0.4324 0.0000 0.0000 205.0000 4.9586 1.0000 
35 36 0 7.4238 -4.7693 -12.9117 7.4970 -4.8194 -13.2955 0.1366 0.3939 0.0000 0.0000 205.0000 5.1042 1.0000 
36 37 0 7.4970 -4.8194 -13.2955 7.5246 -4.8603 -13.6815 0.1366 0.3892 0.0000 0.0000 205.0000 5.2483 1.0000 
37 38 0 7.5246 -4.8603 -13.6815 7.5416 -4.8924 -14.0594 0.1366 0.3796 0.0000 0.0000 205.0000 5.3893 1.0000 
38 39 0 7.5416 -4.8924 -14.0594 7.5524 -4.9117 -14.4670 0.1366 0.4082 0.0000 0.0000 205.0000 5.5412 1.0000 
39 40 0 7.5524 -4.9117 -14.4670 7.5759 -4.8681 -14.8731 0.1366 0.4091 0.0000 0.0000 205.0000 5.6938 1.0000 
40 41 0 7.5759 -4.8681 -14.8731 7.5730 -4.8178 -15.2877 0.1366 0.4177 0.0000 0.0000 205.0000 5.8500 1.0000 
41 42 0 7.5730 -4.8178 -15.2877 7.5597 -4.7749 -15.6924 0.1366 0.4072 0.0000 0.0000 205.0000 6.0027 1.0000 
42 43 0 7.5597 -4.7749 -15.6924 7.5616 -4.7652 -16.0527 0.1366 0.3604 0.0000 0.0000 205.0000 6.1382 1.0000 
43 44 0 7.5616 -4.7652 -16.0527 7.5593 -4.7552 -16.4357 0.1366 0.3831 0.0000 0.0000 205.0000 6.2825 1.0000 
44 45 0 7.5593 -4.7552 -16.4357 7.5766 -4.7516 -16.8691 0.1366 0.4338 0.0000 0.0000 205.0000 6.4464 1.0000 
45 46 0 7.5766 -4.7516 -16.8691 7.6028 -4.7670 -17.2647 0.1366 0.3968 0.0000 0.0000 205.0000 6.5966 1.0000 
46 47 0 7.6028 -4.7670 -17.2647 7.6074 -4.7673 -17.6336 0.1366 0.3689 0.0000 0.0000 205.0000 6.7366 1.0000 
